"Reference","Value","Footprint","Qty"
"C1,C2,C5,C8,C9,C10,C15,C19","1uF","C0603","8"
"C3,C11","22pF","C0603","2"
"C4,C7,C24,C26,C40","4.7uF","C0603","5"
"C6,C12,C13,C14,C17,C22,C25,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C41,C42,C43,C44","0.1uF","C0603","24"
"C16,C18","47uF","C5*5","2"
"D1,D2,D3,D4","LED/G","LED0805-R-RD","4"
"J1","TYPE-C-6P","TYPE-C-6P","1"
"J2,J3,J4,J5","TYPE-A3.0","TYPE-A3.0","4"
"L1","10uH Idc>500mA","0650","1"
"Q1","AO3400_NMOS","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","1"
"R1,R25","47KΩ","R0603","2"
"R2","100KΩ","R0603","1"
"R3,R4,R5,R8,R13,R14,R15,R16,R21,R22,R26,R28","10KΩ","R0603","12"
"R6,R7,R33,R34,R35,R36","5.1KΩ","R0603","6"
"R9","7.5KΩ","R0603","1"
"R10","5.1K","R0603","1"
"R11","20.5KΩ","R0603","1"
"R12","0Ω/DNP","R0603","1"
"R17,R18,R19,R20,R23","1K","R0603","5"
"R24,R27","1KΩ","R0603","2"
"R29,R30,R31,R32","0Ω/NC","R0603","4"
"U1","TYPE-C-24P","TYPE-C-24P","1"
"U2","VL813(A1)","QFN-76","1"
"U3,U5,U7,U8,U9,U10","SY6280AAC","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","6"
"U4","WQFN-28","WQFN-28","1"
"U6","W25Q16JVSIQ","SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL","1"
"X1","XTAL_3225_25M","OSC-SMD_4P-L3.2-W2.5-BL_SIT8008BI","1"
