No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Supplier Part,Primary Category,Secondary Category,Manufacturer
1,2,K2-1808SN-A4SW-01,"BOOT1,SW1",KEY-SMD_4P-L4.2-W3.2-P2.20-LS5.1-TL,,K2-1808SN-A4SW-01,C92589,开关,轻触开关,韩国韩荣
2,2,4.7uF,"C1,C3",C0402,4.7uF,CL05A475KP5NRNC,C368809,电容,贴片电容(MLCC),SAMSUNG(三星)
3,6,100nF,"C2,C7,C11,C13,C21,C24",R0402,100nF,GRM155R71H104KE14D,C77020,电容,贴片电容(MLCC),muRata(村田)
4,2,4.7uF,"C4,C8",R0402,4.7uF,CL05A475KP5NRNC,C368809,电容,贴片电容(MLCC),SAMSUNG(三星)
5,9,100nF,"C5,C6,C9,C14,C15,C16,C17,C18,C19",R0201,100nF,CL03A104KQ3NNNC,C160831,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,SAMSUNG(三星)
6,2,10uF,"C10,C12",R0402,10uF,GRM155R61A106ME44D,C77000,电容,贴片电容(MLCC),muRata(村田)
7,2,15pF,"C22,C23",R0201,15pF,GRM0335C1H150JA01D,C85891,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,muRata(村田)
8,1,DFLS130L-7,D1,POWERDI-123_L2.8-W1.8-LS3.7-RD,,DFLS130L-7,C110493,二极管,肖特基二极管,DIODES(美台)
9,2,RCLAMP0521P.TCT-MS,"D2,D3",D0402-BI,,RCLAMP0521P.TCT-MS,C3029033,TVS/保险丝/板级保护,静电和浪涌保护(TVS/ESD),MSKSEMI(美森科)
10,1,AOTA-B201610S3R3-101-T,L2,IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,,AOTA-B201610S3R3-101-T,C42411119,电感/线圈/变压器,功率电感,ABRACON
11,1,XL-1005UGC,LED1,LED0402-RD_GREEN,,XL-1005UGC,C2856703,光耦/LED/数码管/光电器件,发光二极管/LED,XINGLIGHT(成兴光)
12,1,NCD0402R1,PWR_LED,LED0402-RD,,NCD0402R1,C130719,光耦/LED/数码管/光电器件,发光二极管/LED,国星光电
13,1,DMG1012T-7,Q1,SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR,,DMG1012T-7,C20512,三极管/MOS管/晶体管,场效应管(MOSFET),DIODES(美台)
14,1,15kΩ,R1,R0402,15kΩ,0402WGF1502TCE,C25756,电阻,贴片电阻,UNI-ROYAL(厚声)
15,2,5.1kΩ,"R2,R8",R0402,5.1kΩ,0402WGJ0512TCE,C25941,电阻,贴片电阻,UNI-ROYAL(厚声)
16,1,5.6kΩ,R3,R0402,5.6kΩ,0402WGF5601TCE,C25908,电阻,贴片电阻,UNI-ROYAL(厚声)
17,2,27Ω,"R4,R5",R0402,27Ω,0402WGF270JTCE,C25100,Resistors,Chip Resistor - Surface Mount,UNI-ROYAL(厚声)
18,1,10kΩ,R6,R0402,10kΩ,RC0402FR-0710KL,C60490,电阻,贴片电阻,YAGEO(国巨)
19,1,33Ω,R7,R0402,33Ω,RT0402BRD0733RL,C852729,电阻,贴片电阻,YAGEO(国巨)
20,1,1Ω,R10,R0402,1Ω,RC0402FR-071RL,C185446,Resistors,Chip Resistor - Surface Mount,YAGEO(国巨)
21,4,100kΩ,"R11,R15,R16,R17",R0402,100kΩ,RC0402FR-07100KL,C60491,电阻,贴片电阻,YAGEO(国巨)
22,1,2kΩ,R12,R0402,2kΩ,0402WGF2001TCE,C4109,电阻,贴片电阻,UNI-ROYAL(厚声)
23,1,1kΩ,R14,R0402,1kΩ,0402WGJ0102TCE,C25543,电阻,贴片电阻,UNI-ROYAL(厚声)
24,1,1kΩ,R18,R0201,1kΩ,0201WMF1001TEE,C270365,Resistors,Chip Resistor - Surface Mount,UNI-ROYAL(厚声)
25,1,200Ω,R19,R0402,200Ω,RT0402BRD07200RL,C852625,电阻,贴片电阻,YAGEO(国巨)
26,1,RP2350A,U1,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,,RP2350A,C42411118,Embedded Processors & Controllers,Microcontrollers (MCU/MPU/SOC),Raspberry Pi(树莓派)
27,1,ME6217C33M5G,U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,,ME6217C33M5G,C427602,电源芯片,线性稳压器(LDO),MICRONE(南京微盟)
28,1,W25Q32JVUUIQ,U4,USON-8_L4.0-W3.0-P0.80-BL_WINBOND_UU,,W25Q32JVUUIQ,C2999380,存储器,NOR FLASH,WINBOND(华邦)
29,1,TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,,TYPE-C 16PIN 2MD(073),C2765186,连接器,USB连接器,SHOU HAN(首韩)
30,1,ABM8-272-T3,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,ABM8-272-T3,C20625731,"Crystals, Oscillators, Resonators",Crystals,ABRACON
