No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Supplier Part,Primary Category,Secondary Category,Manufacturer
1,2,4.7uF,"C1,C3",C0805,4.7uF,CL21A475KAQNNNE,C1779,,,SAMSUNG(三星)
2,5,10uF,"C2,C23,C25,C27,C29",C0805,10uF,CL21A106KPFNNNE,C17024,电容,贴片电容(MLCC),SAMSUNG(三星)
3,15,0.1uF,"C4,C7,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22",R0402,0.1uF,CC0402KRX7R7BB104,,电容,贴片电容(MLCC),YAGEO(国巨)
4,2,12pF,"C5,C6",R0402,12pF,0402CG120J500NT,C1547,电容,贴片电容(MLCC),FH(风华)
5,6,0.1uF,"C8,C9,C24,C26,C28,C30",C0402,0.1uF,CC0402KRX7R7BB104,,电容,贴片电容(MLCC),YAGEO(国巨)
6,1,A1257WR-S-2P,CN1,CONN-SMD_A1257WR-S-2P,,A1257WR-S-2P,C225125,连接器,线对板针座,CJT(长江连接器)
7,1,SS34,D1,SMA_L4.3-W2.5-LS5.0-RD,,SS34,C727060,二极管,肖特基二极管,TWGMC(台湾迪嘉)
8,4,125 X 300,"K1,K2,K3,K4",125 X 300,,,,,,
9,4,TS-1089S-02526,"KEY0,KEY1,KEY2,KEY3",SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,,TS-1089S-02526,C455282,按键/开关,轻触开关,XUNPU(讯普)
10,1,BLM15PD121SN1D,L1,L0402,,BLM15PD121SN1D,C76891,磁珠/滤波器/EMI优化,磁珠,muRata(村田)
11,12,XL-1608UGC-04,"LED0,LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED9,LED10,LED11,LED12",LED0603-RD_GREEN,,XL-1608UGC-04,C965804,LED/光电器件,发光二极管/LED,XINGLIGHT(成兴光)
12,2,MMBT3904,"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,,MMBT3904,C909754,三极管/MOS管/晶体管,三极管(BJT),GOODWORK(固得沃克)
13,21,10kΩ,"R1,R2,R3,R4,R5,R6,R7,R8,R17,R18,R19,R20,R21,R23,R26,R27,R28,R29,R32,R39,R42",R0402,10kΩ,RC0402FR-0710KL,C60490,电阻,贴片电阻,YAGEO(国巨)
14,8,1kΩ,"R9,R10,R11,R12,R13,R14,R15,R16",R0402,1kΩ,0402WGF1001TCE,C11702,,,UNI-ROYAL(厚声)
15,12,4.7kΩ,"R22,R25,R30,R33,R35,R36,R37,R38,R40,R41,R43,R44",R0402,4.7kΩ,0402WGF4701TCE,C25900,电阻,贴片电阻,UNI-ROYAL(厚声)
16,1,1MΩ,R24,R0402,1MΩ,0402WGF1004TCE,C26083,电阻,贴片电阻,UNI-ROYAL(厚声)
17,1,0Ω,R31,R0402,0Ω,0402WGF0000TCE,C17168,电阻,贴片电阻,UNI-ROYAL(厚声)
18,1,NC,R34,R0402,NC,0402WGF4701TCE,,电阻,贴片电阻,UNI-ROYAL(厚声)
19,1,DSIC08LSGET,SW5,SW-SMD_DSIC08LSGET,,DSIC08LSGET,C54953,按键/开关,拨码开关,YE
20,4,Test-Point,"TP1,TP2,TP3,TP4",Test-Point-0.5mm,,,,,,
21,2,PZ254-2-20-Z-8.5,"U1,U2",HDR-TH_40P-P2.54-V-M-R2-C20-S2.54,,PZ254-2-20-Z-8.5,C3012260,连接器,排针,HCTL(华灿天禄)
22,1,CH347T,U3,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,,CH347T,C5122332,通信接口芯片/UART/485/232,USB芯片,WCH(南京沁恒)
23,1,CBW201209U121T,U5,L0805,,CBW201209U121T,C139186,,,FH(风华)
24,1,ME6210A33PG,U6,SOT-89_L4.5-W2.5-P1.50-LS4.2-BR,,ME6210A33PG,C85233,,,MICRONE(南京微盟)
25,1,PGC4KD-6ILPG144,U7,LQFP-144_L20.0-W20.0-P0.50-LS22.0-BL,,PGC4KD-6ILPG144,C9900016133,,,
26,1,TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12,,TYPE-C-31-M-12,C165948,连接器,USB连接器,韩国韩荣
27,1,8MHz,X1,OSC-SMD_4P-L3.2-W2.5-BL,8MHz,X32258MOB4SI,C2682775,振荡器/谐振器,无源晶振,YXC(扬兴晶振)
28,1,50MHz,X2,OSC-SMD_4P-L3.2-W2.5-BL,50MHz,OT322550MJBA4SL,C717684,振荡器/谐振器,有源晶振,YXC(扬兴晶振)
,,,,,,,,,,
